epoch,train_loss,validation_loss,validation_macro_f1,validation_micro_f1,threshold,learning_rate,training_seconds,validation_seconds
1,0.12540393833176547,0.1035041029558514,0.3427196964527318,0.5029451744449479,0.15000000000000002,0.003,1.8239811999992526,0.13570780000009108
2,0.09461212537408671,0.0998512182729384,0.41355547826184547,0.510714928867279,0.15000000000000002,0.003,1.9185877999989316,0.17154760000084934
3,0.08097532054941875,0.10339931112470725,0.42960482258114424,0.5312795568166464,0.20000000000000004,0.003,1.9018718999996054,0.07635019999906945
4,0.07030169302174996,0.11421252156024571,0.4260067641408849,0.5186557290288436,0.20000000000000004,0.003,1.7421341999997821,0.07461419999890495
5,0.06130298748389281,0.12365526126795838,0.4184755229403215,0.49047392236246723,0.15000000000000002,0.003,1.7089120000000548,0.0732492999995884
6,0.05398639949702415,0.14109823469126132,0.40046765822684055,0.4914370811615786,0.15000000000000002,0.003,1.6748826000002737,0.07144309999966936
7,0.04782323151898944,0.15648737947439031,0.40802648801020486,0.4837024135357054,0.15000000000000002,0.003,1.6811372000011033,0.07543529999929888
8,0.042578927091473234,0.17214442485269918,0.3946507624564988,0.4788986998539943,0.20000000000000004,0.003,1.6957943000015803,0.07918729999983043
9,0.03869129885206901,0.1904254407679248,0.3933805637111757,0.4755371472948486,0.15000000000000002,0.003,1.7236338000002434,0.07399980000081996
10,0.03484221068720435,0.21347519520284328,0.39313706870525006,0.4670918535077914,0.15000000000000002,0.003,1.5362607999995816,0.06990800000130548
