epoch,train_loss,validation_loss,validation_macro_f1,validation_micro_f1,threshold,learning_rate,training_seconds,validation_seconds
1,0.1783469517098899,0.13645675761362216,0.0923176917305547,0.3410862380744528,0.1,0.0003,1.4377644999985932,0.06103400000029069
2,0.12997942114035618,0.12141606248187439,0.18766733035182856,0.4004685212298682,0.1,0.0003,1.5249619000005623,0.06875089999994088
3,0.11774434861026582,0.1132591385222694,0.24931892842924702,0.42544886807181886,0.1,0.0003,1.64640209999925,0.07548680000036256
4,0.10960568445182237,0.10847866659042715,0.28754717649313016,0.44378470504150863,0.1,0.0003,1.6468186000001879,0.07472979999874951
5,0.1036523859828635,0.10519078178375882,0.3158473386006885,0.45595405786109006,0.1,0.0003,1.8124890999988565,0.131741699999111
6,0.09885693478628227,0.10325060310264465,0.329821132260702,0.46366632449078826,0.1,0.0003,1.800957200000994,0.0700116000007256
7,0.09467846423531699,0.1020374133375532,0.35195225929719187,0.5113057116716769,0.15000000000000002,0.0003,1.7860067000001436,0.1353237999992416
8,0.09123365523023722,0.10074828720558537,0.3667476475359193,0.5142820545664147,0.15000000000000002,0.0003,1.7572001999997156,0.08509779999985767
9,0.08822595461588581,0.10042539785433817,0.37891124889903455,0.519343418088188,0.15000000000000002,0.0003,1.7992821000007098,0.12053579999883368
10,0.08532774299348837,0.10009865896138502,0.4011459686503603,0.5209448818897637,0.15000000000000002,0.0003,1.8697262999994564,0.1364173000001756
