label,precision,recall,f1,support
admiration,0.375,0.5,0.42857142857142855,6
amusement,1.0,1.0,1.0,2
anger,1.0,0.4,0.5714285714285714,5
annoyance,0.4,0.2222222222222222,0.2857142857142857,9
approval,0.5,0.3333333333333333,0.4,3
caring,0.5,1.0,0.6666666666666666,1
confusion,1.0,0.5714285714285714,0.7272727272727273,7
curiosity,0.25,0.25,0.25,4
desire,1.0,1.0,1.0,1
disappointment,0.3333333333333333,0.5,0.4,4
disapproval,1.0,0.2,0.3333333333333333,5
disgust,0.5,1.0,0.6666666666666666,1
embarrassment,1.0,0.5,0.6666666666666666,2
excitement,0.4,1.0,0.5714285714285714,2
fear,1.0,1.0,1.0,1
gratitude,1.0,0.7142857142857143,0.8333333333333334,7
grief,0.0,0.0,0.0,0
joy,0.5,1.0,0.6666666666666666,1
love,0.5,1.0,0.6666666666666666,1
nervousness,1.0,0.3333333333333333,0.5,3
optimism,0.5,0.5,0.5,2
pride,0.0,0.0,0.0,2
realization,1.0,1.0,1.0,1
relief,0.0,0.0,0.0,4
remorse,1.0,1.0,1.0,1
sadness,1.0,1.0,1.0,1
surprise,0.6666666666666666,0.5,0.5714285714285714,4
neutral,0.2,1.0,0.3333333333333333,3
